生徒ID,保護者ID,契約ID,契約ID_存在,請求ID,請求ID_存在,金額,開始日,顧客表記用請求名
,8112525,,×,,×,1000,2025/10/01,ニッケ稲沢校統合に伴い10月分無料のため割引相殺
,8111404,,×,,×,500,2025/10/01,ニッケ稲沢校統合に伴い10月分無料のため割引相殺
,8211509,,×,,×,500,2025/10/01,ニッケ稲沢校統合に伴い10月分無料のため割引相殺
,8221532,,×,,×,1000,2025/10/01,ニッケ稲沢校統合に伴い10月分無料のため割引相殺
,8111404,,×,,×,2000,2025/10/01,ニッケ稲沢校統合に伴い10月分無料のため割引相殺
,8208150,,×,,×,1000,2025/10/01,ニッケ稲沢校統合に伴い10月分無料のため割引相殺
,8204305,,×,,×,1000,2025/10/01,ニッケ稲沢校統合に伴い10月分無料のため割引相殺
,8219905,,×,,×,1000,2025/10/01,ニッケ稲沢校統合に伴い10月分無料のため割引相殺
,8207377,,×,,×,500,2025/10/01,ニッケ稲沢校統合に伴い10月分無料のため割引相殺
,8111341,,×,,×,500,2025/10/01,ニッケ稲沢校統合に伴い10月分無料のため割引相殺
203479,8203075,,×,,×,13500,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週4回》
203076,8203075,,×,,×,13500,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週4回》
14741,8111401,,×,,×,480,2025/10/01,【追加_夏期講習_まなびワールド】《後延長分120円×4》(8/5.19分）
201584,8111401,,×,,×,480,2025/10/01,【追加_夏期講習_まなびワールド】《後延長分120円×4》(8/5.19分）
201584,8111401,,×,,×,840,2025/10/01,【追加_夏期講習_まなびワールド】《後延長分120円×4》(8/1.19.25分）
201584,8111401,,×,,×,1920,2025/10/01,【追加_夏期8月分_まなびワールド】《前延長/1H480円×4日分》
201584,8111401,,×,,×,13500,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週4回》
14741,8111401,,×,,×,100,2025/10/01,【追加_まなびワールド】《【8月分】お茶代100円×1個》（8/19分）
14741,8111401,,×,,×,720,2025/10/01,【追加_夏期講習_まなびワールド】《後延長分120円×4》
14741,8111401,,×,,×,1440,2025/10/01,【追加_夏期8月分_まなびワールド】《前延長/1H480円×3日分》
14741,8111401,,×,,×,1920,2025/10/01,【追加_夏期8月分_まなびワールド】《前延長/1H480円×4日分》
220038,8220036,,×,,×,4000,2025/10/01,アンプログラミングクラブ【教材費】マイクラコース 教材（4月・10月 ） (税別)
14741,8111401,,×,,×,11000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週3回》
220056,8220029,,×,,×,4000,2025/10/01,アンプログラミングクラブ【教材費】マイクラコース 教材（4月・10月 ） (税別)
220018,8220017,,×,,×,4000,2025/10/01,アンプログラミングクラブ【教材費】マイクラコース 教材（4月・10月 ） (税別)
220019,8220017,,×,,×,4000,2025/10/01,アンプログラミングクラブ【教材費】マイクラコース 教材（4月・10月 ） (税別)
220014,8220013,,×,,×,4000,2025/10/01,アンプログラミングクラブ【教材費】マイクラコース 教材（4月・10月 ） (税別)
201419,8200436,,×,,×,18000,2025/10/01,アン進学ジム中学部【テスト対策費】中2  進学ジム  (税別) (税別)
217888,8217885,,×,,×,100,2025/10/01,【追加_まなびワールド】《【8月分】お茶代100円×1個》（8/25分）
217888,8217885,,×,,×,2880,2025/10/01,【追加_夏期8月分_まなびワールド】《前延長/1H（120円×4＝480円）×6日分》
217888,8217885,,×,,×,8000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週2回》
216489,8216488,,×,,×,2880,2025/10/01,【追加_夏期8月分_まなびワールド】《前延長/1H（120円×4＝480円）×6日分》
216489,8216488,,×,,×,200,2025/10/01,【追加_まなびワールド】《【8月分】お茶代100円×2個》（8/25.28分）
216489,8216488,,×,,×,15000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週5回》
217174,8215459,,×,,×,15000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週5回》
219546,8219545,,×,,×,1750,2025/10/01,【追加_まなびワールド】《【夏休み】お弁当代350円×5個》
219546,8219545,,×,,×,11000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週3回》
218465,8218464,,×,,×,4800,2025/10/01,【追加_夏期8月分_まなびワールド】《前延長/1H（120円×4＝480円）×10日分》
218465,8218464,,×,,×,8000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週2回》
205459,8205458,,×,,×,300,2025/10/01,【追加_まなびワールド】《【8月分】お茶代100円×3個》（8/1.5.19分）
205459,8205458,,×,,×,120,2025/10/01,【追加_夏期8月分_まなびワールド】《前延長（120円×1）8/11日分》
205459,8205458,,×,,×,8000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週2回》
221750,8221749,,×,,×,7200,2025/10/01,【追加_夏期8月分_まなびワールド】《前延長/1H（120円×4＝480円）×15日分》
221750,8221749,,×,,×,8750,2025/10/01,【追加_まなびワールド】《【夏休み】お弁当代350円×25個》
216308,8204220,,×,,×,150,2025/10/01,アンインターナショナル【おやつ代_8月分】《50円×3個》
221750,8221749,,×,,×,15000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週5回》
208324,8109455,,×,,×,2400,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×6個》
208324,8109455,,×,,×,20000,2025/10/01,アンインターナショナル【教材費】（4月・10月）
220534,8218124,,×,,×,2000,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×5個》
218125,8218124,,×,,×,2000,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×5個》
13146,8110243,,×,,×,20000,2025/10/01,アンインターナショナル【教材費】（4月・10月）
222637,8222636,,×,,×,1500,2025/10/01,【チケット_追加】アンインターナショナル　60分単発
216175,8216174,,×,,×,14000,2025/10/01,【チケット_追加】アンインターナショナル　60分×10枚
215820,8214788,,×,,×,20000,2025/10/01,アンインターナショナル【教材費】（4月・10月）
222637,8222636,,×,,×,5000,2025/10/01,アンインターナショナル【教材費】
218771,8200893,,×,,×,4272,2025/10/01,"9月分_アンそろばんクラブ【授業料】(前払い制の為) _ 5コマ分 （\\3,212＋\\1,060）"
218771,8200893,,×,,×,4272,2025/10/01,"9月分_アンそろばんクラブ【授業料】(前払い制の為) _ 5コマ分 （\\3,212＋\\1,060）"
220962,8220847,,×,,×,5000,2025/10/01,【8月教材費追加】★推奨教材★インター教材代
215818,8111822,,×,,×,1000,2025/10/01,"【月謝_社員割引_8月分追加】アンインターナショナル《8/19出席分》1,000円×1日"
215818,8111822,,×,,×,2000,2025/10/01,アンインターナショナル【月謝_社員割引_10月分相殺】《10月調整分／出席18日間予定》
212416,8112776,,×,,×,2000,2025/10/01,アンインターナショナル【月謝_社員割引_10月分相殺】《10月調整分／出席22日間予定》
15638,8110912,,×,,×,20000,2025/10/01,アンインターナショナル【教材費】（4月・10月）
15638,8110912,,×,,×,6000,2025/10/01,"【月謝_社員割引_8月分追加】アンインターナショナル《8/6,7,20,21,27,28出席分》1,000円×6日"
208405,8110912,,×,,×,2000,2025/10/01,アンインターナショナル【月謝_社員割引_10月分相殺】《10月調整分／出席14日間予定》
205989,8205988,,×,,×,3000,2025/10/01,アンインターナショナル【月謝_社員割引_10月分相殺】《10月調整分／出席23日間予定》
212713,8212703,,×,,×,2000,2025/10/01,アンインターナショナル【月謝_社員割引_10月分相殺】《10月調整分／出席22日間予定》
217276,8201551,,×,,×,2000,2025/10/01,アンインターナショナル【月謝_社員割引_10月分相殺】《10月調整分／出席10日間予定》
215915,8215910,,×,,×,24500,2025/10/01,【9月差額追加】ゼブラ アフター週1回→週4回差額(授業料+月会費)
216175,8216174,,×,,×,100,2025/10/01,アンインターナショナル【おやつ代_8月分】《50円×2個》
213253,8212905,,×,,×,100,2025/10/01,アンインターナショナル【おやつ代_8月分】《50円×2個》
221177,8220824,,×,,×,100,2025/10/01,アンインターナショナル【おやつ代_8月分】《50円×2個》
214789,8214788,,×,,×,350,2025/10/01,アンインターナショナル【おやつ代_8月分】《50円×7個》
207968,8207967,,×,,×,1000,2025/10/01,【授業料_9月分相殺】FS割
216532,8216516,,×,,×,4550,2025/10/01,【追加_まなびワールド】《【夏休み】お弁当代350円×13個》
216532,8216516,,×,,×,3840,2025/10/01,【追加_8月分_まなびワールド】《前延長/1H（120円×4＝480円）×8日分》 
216532,8216516,,×,,×,5760,2025/10/01,【追加_７月分_まなびワールド】《前延長/1H（120円×4＝480円）×12日分》 
216532,8216516,,×,,×,11000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週3回》 
212648,8212647,,×,,×,2100,2025/10/01,【追加_まなびワールド】《【夏休み】お弁当代350円×6個》
212648,8212647,,×,,×,11000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週3回》
207033,8202606,,×,,×,960,2025/10/01,【追加_8月分_まなびワールド】《前延長/120円×8日分》
207033,8202606,,×,,×,11000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週3回》
216570,8216569,,×,,×,8000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週2回》
16033,8112375,,×,,×,750,2025/10/01,教材費（10月分）
216471,8216470,,×,,×,9470,2025/10/01,9月度家賃精算
216835,8216833,,×,,×,8000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週2回》
222483,8222444,,×,,×,7200,2025/10/01,SEEDS 小学部　【授業料】小5　【個別】1：2
222482,8222444,,×,,×,7200,2025/10/01,SEEDS 小学部　【授業料】小5　【個別】1：2
220100,8220099,,×,,×,100,2025/10/01,【追加_まなびワールド】《【8月分】お茶代100円×1個》（8/8分）
220100,8220099,,×,,×,8400,2025/10/01,【追加_まなびワールド】《【夏休み】お弁当代350円×24個》
220100,8220099,,×,,×,6720,2025/10/01,【追加_8月分_まなびワールド】《前延長/1H（120円×4＝480円）×14日分》 
220100,8220099,,×,,×,15000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週5回》
221149,8221148,,×,,×,15000,2025/10/01,【追加_夏期講習_まなぶびワールド】《夏期お預かり分_週5回》
221149,8221148,,×,,×,7000,2025/10/01,【追加_まなびワールド】《【夏休み】お弁当代350円×20個》
221149,8221148,,×,,×,6720,2025/10/01,【追加_夏期8月分_まなびワールド】《前延長/1H（120円×4＝480円）×14日分》
15204,8109456,,×,,×,100,2025/10/01,【追加_まなびワールド】《【8月分】お茶代100円×1個》（8/29分）
15204,8109456,,×,,×,6000,2025/10/01,"【追加_月謝_社員割引_まなびワールド】【8月謝《出席分8/1.6.8.22.27.29》1,000円×6日】"
13256,8110330,,×,,×,4900,2025/10/01,【追加_まなびワールド_夏期講習】《お弁当代350円×14個》
200537,8200496,,×,,×,1000,2025/10/01,"【月謝_社員割引_まなびワールド_調整分_追加】10月授業料調整分〔社割〕《5/4日出席予定1,000×1日》"
216610,8212502,,×,,×,450,2025/10/01,アンインターナショナル【おやつ代_8月分】《50円×9個》
217276,8201551,,×,,×,300,2025/10/01,アンインターナショナル【おやつ代_8月分】《50円×6個》
215820,8214788,,×,,×,100,2025/10/01,アンインターナショナル【おやつ代_8月分】《50円×2個》
208405,8110912,,×,,×,350,2025/10/01,アンインターナショナル【おやつ代_8月分】《50円×7個》
216308,8204220,,×,,×,151,2025/10/01,アンインターナショナル【おやつ代_8月分】《50円×3個》
204239,8204220,,×,,×,650,2025/10/01,アンインターナショナル【おやつ代_8月分】《50円×13個》
223466,8216019,,×,,×,400,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×1個》
216175,8216174,,×,,×,800,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×2個》
214789,8214788,,×,,×,400,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×1個》
213253,8212905,,×,,×,400,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×1個》
205310,8205308,,×,,×,7000,2025/10/01,【チケット_追加】アンインターナショナル　30分×10枚
205310,8205308,,×,,×,800,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×2個》
213496,8110688,,×,,×,2400,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×6個》
212416,8112776,,×,,×,5600,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×14個》
219546,8219545,,×,,×,2400,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×6個》
14068,8110912,,×,,×,3500,2025/10/01,6月分_追加_アン美文字クラブ【授業料】【毛筆】 週1コマ 
14068,8110912,,×,,×,3500,2025/10/01,6月分_追加_ アン将棋クラブ【授業料】レギュラー 週1コマ
14068,8110912,,×,,×,4000,2025/10/01,6月分_アンまなびワールド_追加【授業料】送迎付き学童週1回_社員料金
220494,8220493,,×,,×,18000,2025/10/01,アン進学ジム中学部【必須テスト対策費】中1  進学ジム 1Daysフリー  
218024,8218023,,×,,×,18000,2025/10/01,アン進学ジム中学部【必須テスト対策費】中3 進学ジム 1Daysフリー
214579,8214577,,×,,×,18000,2025/10/01,アン進学ジム中学部【テスト対策費】中2  進学ジム  (税別)
16141,8111516,,×,,×,18000,2025/10/01,アン進学ジム中学部【必須テスト対策費】中1  進学ジム 1Daysフリー 
201646,8021241,,×,,×,2500,2025/10/01,【2025年6月実施】漢検準2級検定料
12450,8104618,,×,,×,5000,2025/10/01,【2025年5月実施】英検3級検定料
223387,8223379,,×,,×,6100,2025/10/01,【2025年9月実施】英検準2級検定料
217678,8216058,,×,,×,5000,2025/10/01,【2025年5月実施】英検3級検定料
222142,8222141,,×,,×,1500,2025/10/01,【2025年6月実施】漢検10級検定料
221909,8221908,,×,,×,2000,2025/10/01,【2025年6月実施】漢検5級検定料
10967,8104618,,×,,×,6900,2025/10/01,【2025年5月実施】英検2級検定料
201646,8021241,,×,,×,2500,2025/10/01,【2025年10月実施】漢検準2級検定料
216182,8206139,,×,,×,2500,2025/10/01,【2025年10月実施】漢検3級検定料
15616,8112076,,×,,×,2900,2025/10/01,【2025年5月実施】英検4級検定料
221816,8221814,,×,,×,5000,2025/10/01,【2025年5月実施】英検3級検定料
223388,8223379,,×,,×,6100,2025/10/01,【2025年9月実施】英検準2級検定料
205042,8205041,,×,,×,5000,2025/10/01,【2025年9月実施】英検3級検定料
15613,8112073,,×,,×,2900,2025/10/01,【2025年5月実施】英検4級検定料
202456,8202455,,×,,×,5000,2025/10/01,【2025年9月実施】英検3級検定料
205042,8205041,,×,,×,2500,2025/10/01,【2025年10月実施】漢検3級検定料
212245,8212241,,×,,×,5000,2025/10/01,【2025年9月実施】英検3級検定料
15033,8111635,,×,,×,5000,2025/10/01,【2025年9月実施】英検3級検定料
219440,8219439,,×,,×,1500,2025/10/01,【2025年6月実施】漢検9級検定料
222052,8222046,,×,,×,2500,2025/10/01,【2025年6月実施】漢検3級検定料
222268,8222267,,×,,×,2500,2025/10/01,【2025年6月実施】漢検準2級検定料
216059,8216058,,×,,×,6900,2025/10/01,【2025年9月実施】英検2級検定料
212243,8212241,,×,,×,6900,2025/10/01,【2025年9月実施】英検2級検定料
223158,8223157,,×,,×,2900,2025/10/01,【2025年9月実施】英検4級検定料
222264,8212984,,×,,×,1500,2025/10/01,【2025年6月実施】漢検10級検定料
207117,8205811,,×,,×,2500,2025/10/01,【2025年5月実施】英検5級検定料
218385,8218338,,×,,×,2000,2025/10/01,【2025年6月実施】漢検5級検定料
211103,8211102,,×,,×,2000,2025/10/01,【2025年6月実施】漢検7級検定料
212985,8212984,,×,,×,2000,2025/10/01,【2025年6月実施】漢検7級検定料
222027,8222026,,×,,×,2500,2025/10/01,【2025年6月実施】漢検3級検定料
7599,8101818,,×,,×,6100,2025/10/01,【2025年9月実施】英検準2級検定料
204919,8204918,,×,,×,1500,2025/10/01,【2025年10月実施】漢検10級検定料
221815,8221814,,×,,×,6900,2025/10/01,【2025年5月実施】英検2級検定料
213694,8213693,,×,,×,5000,2025/10/01,【2025年5月実施】英検3級検定料
222103,8222101,,×,,×,1500,2025/10/01,【2025年6月実施】漢検8級検定料
14949,8111564,,×,,×,6900,2025/10/01,【2025年5月実施】英検2級検定料
14780,8111431,,×,,×,2900,2025/10/01,【2025年5月実施】英検4級検定料
11994,8109425,,×,,×,5000,2025/10/01,【2025年5月実施】英検3級検定料
223244,8223243,,×,,×,3000,2025/10/01,入会時_【教材費】アン美文字クラブ【毛筆】 教材（4月・8月・12月）
223244,8223243,,×,,×,500,2025/10/01,入会時_当月分_カルチャー【設備費】
223244,8223243,,×,,×,700,2025/10/01,入会時_当月分【月会費】
223244,8223243,,×,,×,3500,2025/10/01,入会時_当月分【授業料ALL】(前払い制の為)
223244,8223243,,×,,×,5000,2025/10/01,アン美文字クラブ【入会金】
223344,8223318,,×,,×,21000,2025/10/01,夏期講習費
223343,8223318,,×,,×,17000,2025/10/01,夏期講習費
217366,8216868,,×,,×,1000,2025/10/01,日向様8月末退会による家族割引9月分
222796,8222795,,×,,×,4800,2025/10/01,アンインターナショナル【お弁当代_7・8月分】《400円×12個》
222872,8222871,,×,,×,4000,2025/10/01,アンインターナショナル【お弁当代_7・8月分】《400円×10個》
214006,8208111,,×,,×,2400,2025/10/01,アンインターナショナル【お弁当代_7・8月分】《400円×6個》
208112,8208111,,×,,×,2400,2025/10/01,アンインターナショナル【お弁当代_7・8月分】《400円×6個》
218550,8218549,,×,,×,3600,2025/10/01,アンインターナショナル【お弁当代_7・8月分】《400円×9個》
222625,8222624,,×,,×,3200,2025/10/01,アンインターナショナル【お弁当代_7・8月分】《400円×8個》
220962,8220847,,×,,×,4800,2025/10/01,アンインターナショナル【お弁当代_7・8月分】《400円×12個》
207255,8207254,,×,,×,3600,2025/10/01,アンインターナショナル【お弁当代_7・8月分】《400円×9個》
222637,8222636,,×,,×,4000,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×10個》
222196,8211570,,×,,×,2400,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×6個》
221885,8221884,,×,,×,2800,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×7個》
221221,8220878,,×,,×,3600,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×9個》
221177,8220824,,×,,×,4000,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×10個》
217632,8217631,,×,,×,4000,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×10個》
219672,8216345,,×,,×,4000,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×10個》
216375,8216345,,×,,×,4000,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×10個》
215818,8111822,,×,,×,8000,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×20個》
13146,8110243,,×,,×,2400,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×6個》
216308,8204220,,×,,×,5200,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×13個》
213190,8213189,,×,,×,12400,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×31個》
212713,8212703,,×,,×,5600,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×14個》
205989,8205988,,×,,×,6400,2025/10/01,アンインターナショナル【お弁当代_8月分】《400円×16個》
208246,8208245,,×,,×,400,2025/10/01,7月18日分昼食費
212448,8102522,,×,,×,400,2025/10/01,7月18日分昼食費
215698,8207870,,×,,×,400,2025/10/01,7月18日分昼食費
207871,8207870,,×,,×,400,2025/10/01,7月18日分昼食費
222658,8222657,,×,,×,1000,2025/10/01,9月分回数変更相殺分（週１回分）
223012,8223005,,×,,×,5000,2025/10/01,アン進学ジム中学部【入会金】 (友人紹介半額)
215685,8200979,,×,,×,5040,2025/10/01,アンまなびワールド　夏期講習中ビフォー分
215686,8200986,,×,,×,3120,2025/10/01,夏期講習中ビフォー分
207891,8207890,,×,,×,480,2025/10/01,アンまなびワールド　7月未請求ビフォー分
223321,8223319,,×,,×,9800,2025/10/01,トライアル夏期講習費
223215,8223201,,×,,×,10000,2025/10/01,入会金 
222694,8222692,,×,,×,7000,2025/10/01,【8月分】アンまなびワールド　8月分週２コースとの差額
222694,8222692,,×,,×,960,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
222226,8222202,,×,,×,2000,2025/10/01,【8月分】アンまなびワールド　8月追加1日分
222226,8222202,,×,,×,2000,2025/10/01,【8月分】アンまなびワールド　昼食費
222226,8222202,,×,,×,2040,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
220043,8219678,,×,,×,30,2025/10/01,【8月分】アンまなびワールド　8月分マスク代
220004,8220003,,×,,×,2880,2025/10/01,【8月分】アンまなびワールド 8月分ビフォー
220004,8220003,,×,,×,200,2025/10/01,【8月分】アンまなびワールド 8月分お茶代
220004,8220003,,×,,×,2880,2025/10/01,【8月分】アンまなびワールド
219806,8219805,,×,,×,100,2025/10/01,【8月分】アンまなびワールド　8月分お茶代
219677,8219647,,×,,×,100,2025/10/01,【8月分】アンまなびワールド　8月分お茶代
219677,8219647,,×,,×,1440,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
215685,8200979,,×,,×,120,2025/10/01,【8月分】アンまなびワールド　8月分アフター
215114,8214094,,×,,×,100,2025/10/01,【8月分】アンまなびワールド　8月分お茶代
215114,8214094,,×,,×,5280,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
219683,8212689,,×,,×,240,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
213597,8212689,,×,,×,100,2025/10/01,【8月分】アンまなびワールド　8月分お茶代
212448,8102522,,×,,×,360,2025/10/01,【8月分】アンまなびワールド　8月分アフター
212448,8102522,,×,,×,3000,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
207312,8202737,,×,,×,1920,2025/10/01,【8月分】アンまなびワール　8月分ビフォー
217563,8216340,,×,,×,400,2025/10/01,【8月分】アンまなびワールド　昼食費
217563,8216340,,×,,×,4500,2025/10/01,アンまなびワールド　夏期講習費
211221,8211220,,×,,×,5520,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
208246,8208245,,×,,×,6400,2025/10/01,【8月分】アンまなびワールド　8月分昼食費
208246,8208245,,×,,×,5280,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
207994,8207993,,×,,×,100,2025/10/01,【8月分】アンまなびワールド　8月分お茶代
207994,8207993,,×,,×,3000,2025/10/01,【8月分】アンまなびワールド　8月追加3日分
219691,8207993,,×,,×,1000,2025/10/01,【8月分】アンまなびワールド　8月追加1日分
219691,8207993,,×,,×,4920,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
207994,8207993,,×,,×,4560,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
207871,8207870,,×,,×,30,2025/10/01,【8月分】アンまなびワールド　8月分マスク代
215698,8207870,,×,,×,120,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
207871,8207870,,×,,×,120,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
207891,8207890,,×,,×,5760,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
207869,8200940,,×,,×,100,2025/10/01,【8月分】アンまなびワールド　8月分お茶代
207550,8207549,,×,,×,4200,2025/10/01,【8月分】アンまなびワールド　8月追加3日分
207550,8207549,,×,,×,1680,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
220183,8207228,,×,,×,240,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
207229,8207228,,×,,×,240,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
205943,8205942,,×,,×,480,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
215777,8205942,,×,,×,480,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
215777,8205942,,×,,×,4500,2025/10/01,アンまなびワールド　夏期講習費
205943,8205942,,×,,×,4500,2025/10/01,アンまなびワールド　夏期講習費
204945,8204944,,×,,×,13000,2025/10/01,【8月分】アンまなびワールド　8月分週3コースとの差額
204945,8204944,,×,,×,3840,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
204245,8204241,,×,,×,4320,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
202356,8202354,,×,,×,120,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
202356,8202354,,×,,×,1200,2025/10/01,【8月分】アンまなびワールド　夏期昼食費3食分
201581,8201580,,×,,×,3120,2025/10/01,【8月分】アンまなびワールド　8月分ビフォー
215684,8200755,,×,,×,2800,2025/10/01,アンまなびワールド　夏期昼食費7食分
200815,8200755,,×,,×,2800,2025/10/01,アンまなびワールド　夏期昼食費7食分
8111613,8111613,,×,,×,7000,2025/10/01,９月分月謝差額
217051,8212758,,×,,×,4900,2025/10/01,移籍に伴う、日本習字会費分
217142,8202349,,×,,×,2200,2025/10/01,大筆（小学観峰）小筆（なまえ観峰）各1
223378,8221498,,×,,×,3000,2025/10/01,英検突破テキスト準2級　
223378,8221498,,×,,×,500,2025/10/01,2025年9月分　英検突破WEB授業準2級　
13618,8110576,,×,,×,200,2025/10/01,アン進学ジム【月会費_9月追加分】9月にアンで1000円をいただいているため200円を追加
15301,8111842,,×,,×,3300,2025/10/01,移籍に伴う、日本習字会費分
219677,8219647,,×,,×,7000,2025/10/01,【9月分_差額】アンまなびワールド週2コースとの差額
14929,8111552,,×,,×,3000,2025/10/01,英検突破2級テキスト
14929,8111552,,×,,×,500,2025/10/01,英検突破WEB授業2025年9月分
207793,8202017,,×,,×,7380,2025/10/01,アンさんこくキッズ【講習費】小2  夏期講習 8コマ
217983,8217982,,×,,×,4200,2025/10/01,全県模試中1【模試代】8月29日実施分
222647,8205635,,×,,×,2000,2025/10/01,【9月分_授業料】アンさんこくキッズ追加分
200681,8110825,,×,,×,2000,2025/10/01,アンさんこくキッズ【月謝_9月分】アンイングリッシュとの受講分　さんこくキッズを週2回に変更　追加分
13618,8110576,,×,,×,5000,2025/10/01,アン進学ジム【授業料_9月分】アンイングリッシュ受講のため割引
222832,8222831,,×,,×,2800,2025/10/01,9月授業料差額分（週1→通い放題）
220006,8220005,,×,,×,300,2025/10/01,アンそろばんクラブ_文鎮再購入
14384,8111152,,×,,×,1800,2025/10/01,9月からW1→W2回数変更に伴う授業料差額分
223042,8223041,,×,,×,9600,2025/10/01,プログラミング【夏期講習】 アングループ生8コマ
223042,8223041,,×,,×,500,2025/10/01,入会時_当月分【設備費】 (税別)
207998,8207997,,×,,×,6000,2025/10/01,アン進学ジム小学部【中間一貫校テキスト代】算数・理科・社会 2000×3
223116,8109956,,×,,×,20000,2025/10/01,アン進学ジム　小学部　夏期講習費
211202,8211119,,×,,×,4200,2025/10/01,アン進学ジム中学部【模試代】中1  進学ジム
222960,8222959,,×,,×,4200,2025/10/01,アン進学ジム中学部【模試代】中2  進学ジム
211036,8210700,,×,,×,4200,2025/10/01,アン進学ジム中学部【模試代】中1  進学ジム
211036,8210700,,×,,×,4200,2025/10/01,アン進学ジム中学部【模試代】中1  進学ジム(税込)
222960,8222959,,×,,×,4200,2025/10/01,アン進学ジム中学部【模試代】中2  進学ジム(税込)
13413,8110426,,×,,×,9800,2025/10/01,トライアル夏期講習５０分１１コマ
13412,8110426,,×,,×,9800,2025/10/01,トライアル夏期講習５０分１１コマ
15925,8112309,,×,,×,300,2025/10/01,らくらくマイページ操作代行手数料（3案件分）
219806,8219805,,×,,×,9000,2025/10/01,【9月分】アンまなびワールド  (まなび放題)
8202170,8202170,,×,,×,8000,2025/10/01,ム中学部【授業料_9月分】1day→2daysへ変更による不足分 (税別)
223012,8223005,,×,,×,4200,2025/10/01,8月実施全県模試代
218596,8218331,,×,,×,1000,2025/10/01,アンプログラミングクラブ【教材費】マイクラコース 教材(税別)（9月分）
218596,8218331,,×,,×,1000,2025/10/01,アンプログラミングクラブ【教材費】マイクラコース 教材(税別)（10月分）
