請求ID,有無,作業内容,リスト化,対象,保護者ID,生徒ID,対象　契約ID,対象　請求ID,対象　同ブランド,対象　チケットID,対象カテゴリー,請求カテゴリー区分,金額,請求単位,税区分,複数個,繰り返し,自動請求,開始日,終了日,顧客表記用請求名（契約、請求IDの請求は、そのすぐ下に表記）,終了条件,社長のIF文用備考,請求申請者申請許可,返金時の注意,元請求月謝,登録日時,登録ユーザー,最終更新日時,最終更新ユーザー
AB0000003567,1,1,1,1,8111228,211401,24GYE_1000009,24GYE_1000009_60,アン進学ジム【小学部】,,入会時教材費,88,6000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】 小4 教材,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003566,1,1,1,1,8111228,211401,24GYE_1000009,24GYE_1000009_55,アン進学ジム【小学部】,,入会時設備費,87,500,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分_塾【設備費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003565,1,1,1,1,8111228,211401,24GYE_1000009,24GYE_1000009_54,アン進学ジム【小学部】,,入会時月会費,86,1200,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【月会費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003568,1,1,1,1,8111228,211401,24GYE_1000009,24GYE_1000009_61,アン進学ジム【小学部】,,入会時教材費,88,6000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】アンイングリッシュクラブ Red 教材,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003562,1,1,1,2,8212241,212243,,,漢字検定,,,0,2500,円,2,,1,0,2025/12/01,2025/12/31,【2025年10月実施】漢検準2級検定料,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003561,1,1,1,2,8111635,15033,,,漢字検定,,,0,2500,円,2,,1,0,2025/12/01,2025/12/31,【2025年10月実施】漢検3級検定料,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003560,1,1,1,2,8221394,221398,,,その他,,1,0,1000,円,1,,1,0,2025/12/01,2025/12/31,アンそろばんクラブ【11月_授業料】そろばん30分_1：5マンツー 週1コマ ぽっきり価格 (税別),１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003559,1,1,1,2,8222141,222142,,,漢字検定,,,0,1500,円,2,,1,0,2025/12/01,2025/12/31,【2025年10月実施】漢検9級検定料,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003558,1,1,1,2,8221394,221396,,,その他,,1,0,1000,円,1,,1,0,2025/12/01,2025/12/31,アンそろばんクラブ【11月_授業料】そろばん30分_1：5マンツー 週1コマ ぽっきり価格 (税別),１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003555,1,1,1,1,8221394,221398,24SOR_1000038,24SOR_1000038_4,アンそろばんクラブ,,バッグ,81,0,円,1,,1,1,2025/12/01,2025/12/31,アンそろばんクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003557,1,1,1,1,8221394,221398,24SOR_1000038,24SOR_1000038_60,アンそろばんクラブ,,入会時教材費,88,2500,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】 半年払い（4月・10月）,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003556,1,1,1,1,8221394,221398,24SOR_1000038,24SOR_1000038_5,アンそろばんクラブ,,そろばん本体代,82,0,円,1,,1,1,2025/12/01,2025/12/31,アンそろばんクラブ【本体代】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003554,1,1,1,1,8221394,221396,24SOR_1000038,24SOR_1000038_60,アンそろばんクラブ,,入会時教材費,88,2500,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】 半年払い（4月・10月）,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003552,1,1,1,1,8221394,221396,24SOR_1000038,24SOR_1000038_4,アンそろばんクラブ,,バッグ,81,0,円,1,,1,1,2025/12/01,2025/12/31,アンそろばんクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003553,1,1,1,1,8221394,221396,24SOR_1000038,24SOR_1000038_5,アンそろばんクラブ,,そろばん本体代,82,0,円,1,,1,1,2025/12/01,2025/12/31,アンそろばんクラブ【本体代】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003551,1,1,1,2,8205043,205044,,,その他,,1,0,500,円,1,,1,0,2025/12/01,2025/12/31,そろばん11月設備費11月復会のため,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003550,1,1,1,2,8205043,205044,,,その他,,1,0,700,円,1,,1,0,2025/12/01,2025/12/31,そろばん11月月会費11月復会のため,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003549,1,1,1,2,8205043,205044,,,その他,,1,0,3500,円,1,,1,0,2025/12/01,2025/12/31,そろばん11月授業料11月復会のため,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003548,1,1,1,2,8889369,2222510,,,その他,,1,0,500,円,1,,1,0,2025/12/01,2025/12/31,10月度教材費（10/21入会へ変更）,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003547,1,1,1,2,8889369,2222510,,,その他,,1,0,500,円,1,,1,0,2025/12/01,2025/12/31,10月度設備費（10/21入会へ変更）,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003546,1,1,1,2,8889369,2222510,,,その他,,1,0,700,円,1,,1,0,2025/12/01,2025/12/31,10月度月会費（10/21入会へ変更）,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003545,1,1,1,2,8889369,2222510,,,その他,,1,0,2120,円,1,,1,0,2025/12/01,2025/12/31,10月度2回分授業料（10/21入会へ変更）,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003544,1,1,1,2,8889283,2222481,,,その他,,1,0,500,円,1,,1,0,2025/12/01,2025/12/31,【11月分_設備費】カルチャー【設備費】,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003537,1,1,1,1,8889283,2222481,24AEC_1000015,24AEC_1000015_5,アンイングリッシュクラブ,,入会金,80,10000,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【入会金】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003542,1,1,1,1,8889283,2222481,24AEC_1000015,24AEC_1000015_55,アンイングリッシュクラブ,,入会時設備費,87,500,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分_カルチャー【設備費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003535,1,1,1,1,8889283,2222481,24AEC_1000015,24AEC_1000015_1,アンイングリッシュクラブ,,授業料,1,5980,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【授業料】Red リレー　50分×週1回,１回だけ,自動的に初回請求に追加（2025-11分）,,,2025/11/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003534,1,1,1,1,8889283,2222481,24AEC_1000015,24AEC_1000015_3,アンイングリッシュクラブ,,設備費,3,500,円,1,,1,1,2025/12/01,2025/12/31,カルチャー【設備費】 (税別),１回だけ,自動的に初回請求に追加（2025-11分）,,,2025/11/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003539,1,1,1,1,8889283,2222481,24AEC_1000015,24AEC_1000015_51,アンイングリッシュクラブ,,入会時授業料1,90,1812,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料】(前払い制の為) _ １回分,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003538,1,1,1,1,8889283,2222481,24AEC_1000015,24AEC_1000015_6,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003540,1,1,1,1,8889283,2222481,24AEC_1000015,24AEC_1000015_50,アンイングリッシュクラブ,,入会時授業料A,85,5980,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003541,1,1,1,1,8889283,2222481,24AEC_1000015,24AEC_1000015_54,アンイングリッシュクラブ,,入会時月会費,86,1000,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【月会費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003543,1,1,1,1,8889283,2222481,24AEC_1000015,24AEC_1000015_60,アンイングリッシュクラブ,,入会時教材費,88,8000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】Red,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003536,1,1,1,1,8889283,2222481,24AEC_1000015,24AEC_1000015_2,アンイングリッシュクラブ,,月会費,2,1000,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【月会費】,１回だけ,自動的に初回請求に追加（2025-11分）,,,2025/11/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003533,1,1,1,2,8889283,2222513,,,その他,,1,0,500,円,1,,1,0,2025/12/01,2025/12/31,【11月分_設備費】カルチャー【設備費】,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003531,1,1,1,1,8889283,2222513,24AEC_1000009,24AEC_1000009_55,アンイングリッシュクラブ,,入会時設備費,87,500,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分_カルチャー【設備費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003528,1,1,1,1,8889283,2222513,24AEC_1000009,24AEC_1000009_51,アンイングリッシュクラブ,,入会時授業料1,90,1812,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料】(前払い制の為) _ １回分,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003527,1,1,1,1,8889283,2222513,24AEC_1000009,24AEC_1000009_6,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003523,1,1,1,1,8889283,2222513,24AEC_1000009,24AEC_1000009_1,アンイングリッシュクラブ,,授業料,1,5980,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【授業料】Yellow リレー　50分×週1回,１回だけ,自動的に初回請求に追加（2025-11分）,,,2025/11/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003526,1,1,1,1,8889283,2222513,24AEC_1000009,24AEC_1000009_5,アンイングリッシュクラブ,,入会金,80,10000,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【入会金】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003524,1,1,1,1,8889283,2222513,24AEC_1000009,24AEC_1000009_3,アンイングリッシュクラブ,,設備費,3,500,円,1,,1,1,2025/12/01,2025/12/31,カルチャー【設備費】 (税別),１回だけ,自動的に初回請求に追加（2025-11分）,,,2025/11/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003532,1,1,1,1,8889283,2222513,24AEC_1000009,24AEC_1000009_60,アンイングリッシュクラブ,,入会時教材費,88,8000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】Yellow,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003530,1,1,1,1,8889283,2222513,24AEC_1000009,24AEC_1000009_54,アンイングリッシュクラブ,,入会時月会費,86,1000,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【月会費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003525,1,1,1,1,8889283,2222513,24AEC_1000009,24AEC_1000009_2,アンイングリッシュクラブ,,月会費,2,1000,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【月会費】,１回だけ,自動的に初回請求に追加（2025-11分）,,,2025/11/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003529,1,1,1,1,8889283,2222513,24AEC_1000009,24AEC_1000009_50,アンイングリッシュクラブ,,入会時授業料A,85,5980,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003521,1,1,1,1,8889283,2222514,24AEC_1000067,24AEC_1000067_60,アンイングリッシュクラブ,,入会時教材費,88,8000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】White,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003520,1,1,1,1,8889283,2222514,24AEC_1000067,24AEC_1000067_51,アンイングリッシュクラブ,,入会時授業料1,90,303,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料】(前払い制の為) _ １回分,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003518,1,1,1,1,8889283,2222514,24AEC_1000067,24AEC_1000067_1,アンイングリッシュクラブ,,授業料,1,1000,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【授業料】White リレー　40分×週1回　Whiteぽっきり価格 (税別),１回だけ,自動的に初回請求に追加（2025-11分）,,,2025/11/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003519,1,1,1,1,8889283,2222514,24AEC_1000067,24AEC_1000067_3,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003522,1,1,1,1,8889283,2222514,24AEC_1000067,24AEC_1000067_50,アンイングリッシュクラブ,,入会時授業料A,85,1000,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003510,1,1,1,1,8223747,223752,24AEC_1000009,24AEC_1000009_3,アンイングリッシュクラブ,,設備費,3,500,円,1,,1,1,2025/12/01,2025/12/31,カルチャー【設備費】 (税別),１回だけ,自動的に初回請求に追加（2025-11分）,,,2025/11/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003517,1,1,1,1,8223747,223752,24AEC_1000009,24AEC_1000009_60,アンイングリッシュクラブ,,入会時教材費,88,8000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】Yellow,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003509,1,1,1,1,8223747,223752,24AEC_1000009,24AEC_1000009_1,アンイングリッシュクラブ,,授業料,1,5980,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【授業料】Yellow リレー　50分×週1回 (税別),１回だけ,自動的に初回請求に追加（2025-11分）,,,2025/11/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003514,1,1,1,1,8223747,223752,24AEC_1000009,24AEC_1000009_52,アンイングリッシュクラブ,,入会時授業料2,91,3624,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料】(前払い制の為) _ ２回分,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003515,1,1,1,1,8223747,223752,24AEC_1000009,24AEC_1000009_54,アンイングリッシュクラブ,,入会時月会費,86,1000,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【月会費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003513,1,1,1,1,8223747,223752,24AEC_1000009,24AEC_1000009_6,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003512,1,1,1,1,8223747,223752,24AEC_1000009,24AEC_1000009_5,アンイングリッシュクラブ,,入会金,80,10000,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【入会金】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003511,1,1,1,1,8223747,223752,24AEC_1000009,24AEC_1000009_2,アンイングリッシュクラブ,,月会費,2,1000,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【月会費】 (税別),１回だけ,自動的に初回請求に追加（2025-11分）,,,2025/11/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003516,1,1,1,1,8223747,223752,24AEC_1000009,24AEC_1000009_55,アンイングリッシュクラブ,,入会時設備費,87,500,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分_カルチャー【設備費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003508,1,1,1,1,8223736,223737,24AEC_1000067,24AEC_1000067_60,アンイングリッシュクラブ,,入会時教材費,88,8000,円,1,,1,1,2025/12/01,2025/12/31,入会時_【教材費】White,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003506,1,1,1,1,8223736,223737,24AEC_1000067,24AEC_1000067_3,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003505,1,1,1,1,8223736,223737,24AEC_1000067,24AEC_1000067_1,アンイングリッシュクラブ,,授業料,1,1000,円,1,,1,1,2025/12/01,2025/12/31,アンイングリッシュクラブ【授業料】White リレー　40分×週1回　Whiteぽっきり価格 (税別),１回だけ,自動的に初回請求に追加（2025-11分）,,,2025/11/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003507,1,1,1,1,8223736,223737,24AEC_1000067,24AEC_1000067_52,アンイングリッシュクラブ,,入会時授業料2,91,606,円,1,,1,1,2025/12/01,2025/12/31,入会時_当月分【授業料】(前払い制の為) _ ２回分,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003504,1,1,1,2,8112137,8112137,,,その他,,1,0,6000,円,1,,1,0,2025/12/01,2025/12/31,Purpleクラス教材費,１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003503,1,1,1,2,8216283,216284,,,その他,,1,0,4000,円,1,,1,0,2025/12/01,2025/12/31,アンそろばんクラブ【授業料】30分_1：5→50分_1：5 週1コマ差額分(￥2000×10月・11月分) (税別),１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003502,1,1,1,2,8220474,220477,,,その他,,1,0,4000,円,1,,1,0,2025/12/01,2025/12/31,アンそろばんクラブ【授業料】30分_1：5→50分_1：5 週1コマ差額分(￥2000×10月・11月分),１回だけ,,,,2025/12/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003501,1,1,1,2,8223084,223313,,,その他,,1,0,3000,円,1,,1,0,2025/11/01,2025/11/30,8月月謝未計上分,１回だけ,,,,2025/11/01,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003498,1,1,1,1,8889281,2222478,24AEC_1000067,24AEC_1000067_3,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/11/01,2025/11/30,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003500,1,1,1,1,8889281,2222478,24AEC_1000067,24AEC_1000067_60,アンイングリッシュクラブ,,入会時教材費,88,8000,円,1,,1,1,2025/11/01,2025/11/30,入会時_【教材費】White,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003499,1,1,1,1,8889281,2222478,24AEC_1000067,24AEC_1000067_51,アンイングリッシュクラブ,,入会時授業料1,90,303,円,1,,1,1,2025/11/01,2025/11/30,入会時_当月分【授業料】(前払い制の為) _ １回分,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003496,1,1,1,1,8223790,223791,24AEC_1000067,24AEC_1000067_52,アンイングリッシュクラブ,,入会時授業料2,91,606,円,1,,1,1,2025/11/01,2025/11/30,入会時_当月分【授業料】(前払い制の為) _ ２回分,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003495,1,1,1,1,8223790,223791,24AEC_1000067,24AEC_1000067_3,アンイングリッシュクラブ,,バッグ,81,0,円,1,,1,1,2025/11/01,2025/11/30,アンイングリッシュクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003497,1,1,1,1,8223790,223791,24AEC_1000067,24AEC_1000067_60,アンイングリッシュクラブ,,入会時教材費,88,8000,円,1,,1,1,2025/11/01,2025/11/30,入会時_【教材費】White,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003491,1,1,1,1,8201997,201998,24PRO_1000005,24PRO_1000005_50,アンプログラミングクラブ,,入会時授業料A,85,4800,円,1,,1,1,2025/11/01,2025/11/30,入会時_当月分【授業料ALL】(前払い制の為),１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003493,1,1,1,1,8201997,201998,24PRO_1000005,24PRO_1000005_55,アンプログラミングクラブ,,入会時設備費,87,500,円,1,,1,1,2025/11/01,2025/11/30,入会時_当月分_カルチャー【設備費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003492,1,1,1,1,8201997,201998,24PRO_1000005,24PRO_1000005_54,アンプログラミングクラブ,,入会時月会費,86,1000,円,1,,1,1,2025/11/01,2025/11/30,入会時_当月分【月会費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003494,1,1,1,1,8201997,201998,24PRO_1000005,24PRO_1000005_61,アンプログラミングクラブ,,入会時教材費,88,6000,円,1,,1,1,2025/11/01,2025/11/30,入会時_【教材費】マイクラコース 教材（4月・10月 ）,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003490,1,1,1,1,8889369,2222510,24SOR_1000005,24SOR_1000005_60,アンそろばんクラブ,,入会時教材費,88,2500,円,1,,1,1,2025/11/01,2025/11/30,入会時_【教材費】 半年払い（4月・10月）,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003489,1,1,1,1,8889369,2222510,24SOR_1000005,24SOR_1000005_8,アンそろばんクラブ,,そろばん本体代,82,0,円,1,,1,1,2025/11/01,2025/11/30,アンそろばんクラブ【本体代】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003487,1,1,1,1,8889369,2222510,24SOR_1000005,24SOR_1000005_6,アンそろばんクラブ,,入会金,80,5000,円,1,,1,1,2025/11/01,2025/11/30,アンそろばんクラブ【入会金】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003488,1,1,1,1,8889369,2222510,24SOR_1000005,24SOR_1000005_7,アンそろばんクラブ,,バッグ,81,0,円,1,,1,1,2025/11/01,2025/11/30,アンそろばんクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003486,1,1,1,1,8889369,2222510,24SOR_1000005,24SOR_1000005_60,アンそろばんクラブ,,入会時教材費,88,2500,円,1,,1,1,2025/11/01,2025/11/30,入会時_【教材費】 半年払い（4月・10月）,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003485,1,1,1,1,8889369,2222510,24SOR_1000005,24SOR_1000005_8,アンそろばんクラブ,,そろばん本体代,82,0,円,1,,1,1,2025/11/01,2025/11/30,アンそろばんクラブ【本体代】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003483,1,1,1,1,8889369,2222510,24SOR_1000005,24SOR_1000005_6,アンそろばんクラブ,,入会金,80,5000,円,1,,1,1,2025/11/01,2025/11/30,アンそろばんクラブ【入会金】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003484,1,1,1,1,8889369,2222510,24SOR_1000005,24SOR_1000005_7,アンそろばんクラブ,,バッグ,81,0,円,1,,1,1,2025/11/01,2025/11/30,アンそろばんクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003477,1,1,1,1,8889336,2222495,24SOR_1000005,24SOR_1000005_7,アンそろばんクラブ,,バッグ,81,0,円,1,,1,1,2025/11/01,2025/11/30,アンそろばんクラブ【バッグ】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003476,1,1,1,1,8889336,2222495,24SOR_1000005,24SOR_1000005_6,アンそろばんクラブ,,入会金,80,5000,円,1,,1,1,2025/11/01,2025/11/30,アンそろばんクラブ【入会金】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003478,1,1,1,1,8889336,2222495,24SOR_1000005,24SOR_1000005_8,アンそろばんクラブ,,そろばん本体代,82,0,円,1,,1,1,2025/11/01,2025/11/30,アンそろばんクラブ【本体代】初回プレゼント,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003480,1,1,1,1,8889336,2222495,24SOR_1000005,24SOR_1000005_54,アンそろばんクラブ,,入会時月会費,86,700,円,1,,1,1,2025/11/01,2025/11/30,入会時_当月分【月会費】,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
AB0000003479,1,1,1,1,8889336,2222495,24SOR_1000005,24SOR_1000005_52,アンそろばんクラブ,,入会時授業料2,91,2120,円,1,,1,1,2025/11/01,2025/11/30,入会時_当月分【授業料】(前払い制の為) _ ２回分,１回だけ,,,,,2025-11-04 05:57:55.970186,,2025-11-04 05:57:55.970186,
